PROVIDER_BUSINESS_GROUP_NBR,PRODUCT_CD,SERVICE_GROUP_CD,SERVICE_TYPE_CD,PLACE_OF_SERVICE_CD,SCORE
130748272,ALL,DEFAULTALL,HCPC,12,1
96615028,MC,DEFAULTOUT2,HCPC,12,1
20250936,MPPO,DEFAULTSVC1,HCPC,12,1
637935426,MEPO,DEFAULTOUT,HCPC,12,1
570436929,MHMO,DEFAULTOUT,HCPC,12,1
159840131,MC,DEFAULTALL,HCPC,12,1
56391789,MC,DEFAULTSVC1,HCPC,12,1
875711916,MPPO,DEFAULTALL,HCPC,12,1
383985420,MEPO,RADHCPC,CPT4,21,1
455735092,MPPO,AMBSURA3,CPT4,21,300
321312157,MEPO,10021,CPT4,21,1
167998520,ALL,DEFAULTALL,CPT4,21,1
736385026,ALL,DEFAULTSVC,CPT4,21,1
277821958,ALL,DEFAULTALL,CPT4,21,1
513558789,ALL,DEFAULTALL,HCPC,21,1
917198449,MC,DEFAULTSVC1,CPT4,21,1
171921609,MEPO,DEFAULTSVC1,DRG,21,1
127073843,MC,DEFAULTSVC1,DRG,21,1
266818967,MC,DEFAULTSVC1,CPT4,21,1
920812613,MPPO,DEFAULTALL,CPT4,21,1
926983237,MPPO,DEFAULTSVC1,REV,21,1
439343911,MC,DEFAULTSVC1,CPT4,21,1
902707943,MC,DEFAULTOUT,CPT4,21,1
836537584,MPPO,DEFAULTSVC1,CPT4,21,1
835502112,MPPO,AMBSURA7,CPT4,22,300
252227286,MHMO,AMBSURA6,CPT4,22,300
165017195,MC,AMBSURA4,CPT4,22,300
488416543,MEPO,RADHCPC,CPT4,22,1
655938103,MC,DEFAULTSUR,CPT4,22,300
994109166,MEPO,A9590,HCPC,22,1
411877164,MEPOS,80047,CPT4,22,1
116662852,,80047,CPT4,22,1
159107755,MEPOS,80048,CPT4,22,1
530326216,MEPOS,10021,CPT4,22,1
36278323,MHMO,636,HCPC,22,1
881774976,MWC,J0129,HCPC,22,1
575650310,MEHMO,36420,CPT4,22,1
196865096,MHMO,0200T,CPT4,22,1
490086335,NNHMO,10021,CPT4,22,1
150284255,SLFIN,80048,CPT4,22,1
404714329,MEPO,70010,CPT4,22,1
701822018,MCARE,10021,CPT4,22,1
850294775,MWC,J0129,HCPC,22,1
359645611,MEPOS,70010,CPT4,22,1
748389212,USACC,70010,CPT4,22,1
575994505,QPOS,97010,CPT4,22,1
947226614,MHMO,10021,CPT4,22,1
574761160,ALL,DEFAULTALL,CPT4,22,1
387148725,ALL,DEFAULTALL,CPT4,22,1
681517008,ALL,DEFAULTALL,CPT4,22,1
118699052,ALL,DEFAULTALL,CPT4,22,1
514849479,ALL,DEFAULTALL,CPT4,22,1
819656928,ALL,DEFAULTOUT,HCPC,22,1
186004429,ALL,DEFAULTALL,CPT4,22,1
204757498,ALL,DEFAULTALL,CPT4,22,1
324253616,ALL,DEFAULTALL,CPT4,22,1
524095347,ALL,DEFAULTSVC1,CPT4,22,1
69568333,ALL,DEFAULTOUT,CPT4,22,1
524499239,ALL,DEFAULTALL,HCPC,22,1
63503543,ALL,DEFAULTALL,HCPC,22,1
252801670,ALL,DEFAULTSVC1,CPT4,22,1
964920183,ALL,DEFAULTALL,CPT4,22,1
518632850,ALL,DEFAULTALL,CPT4,22,1
952854744,MC,DEFAULTOUT,HCPC,22,1
698520060,MC,DEFAULTALL,CPT4,22,1
6052309,MPPO,DEFAULTSVC1,HCPC,22,1
